experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_position,job_scope,company_region,abroad
SE,FT,168100,US,100,US,M,STAFF,DATA ARCHITECT,Americas,False
SE,FT,193500,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,139000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,65058,HK,0,HK,L,STAFF,DATA SCIENTIST,Asia,False
SE,FT,150000,PT,100,US,M,STAFF,ML/AI ENGINEER,Americas,True
MI,FT,70179,IN,100,DE,S,STAFF,ML/AI ENGINEER,Europe,True
MI,FT,97171,NL,100,NL,L,STAFF,ML/AI ENGINEER,Europe,False
SE,FT,185900,US,0,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,129300,US,0,US,M,STAFF,BUSINESS INTELLIGENCE,Americas,False
SE,FT,225000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
EN,FT,163196,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
EN,FT,145885,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,217000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,185000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,202800,US,0,US,L,STAFF,DATA ANALYST,Americas,False
SE,FT,104300,US,0,US,L,STAFF,DATA ANALYST,Americas,False
SE,FT,65000,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,179170,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,94300,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,152500,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,116450,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,247300,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,133800,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,203000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,133000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
EN,FT,220000,US,50,US,L,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
EN,FT,56536,CH,100,CH,S,STAFF,ML/AI ENGINEER,Europe,False
SE,FT,214000,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,283200,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,289800,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,214200,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,161800,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,141600,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,342300,US,0,US,L,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,176100,US,0,US,L,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,138784,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,83270,US,100,US,M,STAFF,DATA SCIENTIST,Americas,False
EN,FT,75000,US,0,US,M,STAFF,DATA ANALYST,Americas,False
EN,FT,70000,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,204500,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,138900,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,212200,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,95000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,230000,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,143200,US,0,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
MI,FT,100000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,70000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,105000,US,50,US,L,STAFF,DATA ANALYST,Americas,False
MI,FT,20673,IN,100,IN,L,STAFF,DATA SCIENTIST,Asia,False
MI,FT,46755,GB,0,GB,M,STAFF,DATA ANALYST,Europe,False
MI,FT,43064,GB,0,GB,M,STAFF,DATA ANALYST,Europe,False
SE,FT,168400,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,105200,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,309400,US,0,US,L,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,159100,US,0,US,L,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,190000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,150000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,120000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,55368,CF,100,CF,M,STAFF,DATA ANALYST,Africa,False
SE,FT,43064,CF,100,CF,M,STAFF,DATA ANALYST,Africa,False
SE,FT,241000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,155000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,190000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,67672,GB,0,GB,M,STAFF,DATA SCIENTIST,Europe,False
MI,FT,55368,GB,0,GB,M,STAFF,DATA SCIENTIST,Europe,False
EX,FT,15000,NG,0,CA,M,STAFF,DATA ANALYST,Americas,True
MI,FT,86128,GB,100,GB,M,STAFF,DATA ENGINEER,Europe,False
MI,FT,58444,GB,100,GB,M,STAFF,DATA ENGINEER,Europe,False
MI,FT,300000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
MI,FT,230000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
MI,FT,200000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,53984,FR,50,FR,S,STAFF,DATA ENGINEER,Europe,False
EX,FT,220000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
EX,FT,205000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
MI,FT,180000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,200000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,215000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,170000,US,0,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,224000,CA,0,CA,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,176000,CA,0,CA,M,STAFF,DATA SCIENTIST,Americas,False
EN,FT,17025,IN,100,IN,L,STAFF,DATA ENGINEER,Asia,False
SE,FT,67635,AU,100,FI,M,STAFF,DATA SCIENTIST,Europe,True
MI,FT,74883,FI,0,FI,M,STAFF,ML/AI ENGINEER,Europe,False
EX,FT,329500,US,0,US,M,HEAD,OTHERS,Americas,False
EX,FT,269600,US,0,US,M,HEAD,OTHERS,Americas,False
MI,FT,200000,US,100,US,M,STAFF,ML/AI ENGINEER,Americas,False
SE,FT,100000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
EX,FT,115000,US,0,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,203500,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,239000,US,0,US,L,STAFF,DATA SCIENTIST,Americas,False
SE,FT,122900,US,0,US,L,STAFF,DATA SCIENTIST,Americas,False
SE,FT,237000,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,145000,US,0,US,M,STAFF,DATA SCIENTIST,Americas,False
SE,FT,191765,US,0,US,M,MANAGER,DATA SCIENTIST,Americas,False
SE,FT,134236,US,0,US,M,MANAGER,DATA SCIENTIST,Americas,False
SE,FT,190000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,112000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,88256,ES,100,GB,L,STAFF,DATA SCIENTIST,Europe,True
SE,FT,293000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,185000,US,0,US,M,STAFF,RESEARCH/APPLIED SCIENTIST,Americas,False
SE,FT,220000,US,100,US,M,STAFF,DATA ENGINEER,Americas,False
SE,FT,200000,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,148500,US,0,US,M,STAFF,DATA ANALYST,Americas,False
SE,FT,152900,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,117100,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,173000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
SE,FT,113000,US,100,US,M,STAFF,ANALYTICS ENGINEER,Americas,False
